,_id,Name,Position,Secondary position,Height,Overall,Open_shot_mid,Contested_shot_mid,Off_dribble_shot_mid,Open_shot_3pt,Contested_shot_3pt,Off_dribble_shot_3pt,Shot_IQ,Free_throw,Offensive_consistency,Shot_close,Standing_layup,Driving_layup,Standing_dunk,Driving_dunk,Contact_dunk,Draw_foul,Post_control,Post_hook,Post_fadeaway,Hands,Ball_control,Passing_accuracy,Passing_vision,Passing_IQ,Speed_with_ball,Speed,Acceleration,Vertical,Strength,Stamina,Hustle,Overall_durability,On-ball_defense_IQ,Low_post_defense_IQ,Pick_&_roll_defense_IQ,Help_defense_IQ,Lateral_quickness,Pass_perception,Reaction_time,Steal,Block,Shot_contest,Defensive_consistency,Offensive_rebound,Defensive_rebound,Boxout,Potential,Intangibles
0,8512,Kobe Bryant,SG,SF,78,99,98,98,98,97,97,95,98,95,98,98,98,98,70,98,95,98,90,74,98,98,94,90,85,93,92,97,96,98,70,98,97,83,97,62,98,97,97,98,97,89,70,96,98,69,78,75,99,97
1,20047,Charles Barkley,PF,,78,99,97,95,90,90,87,68,98,90,98,98,98,97,85,85,80,98,98,95,96,97,84,75,75,85,79,88,85,97,97,98,98,95,88,94,92,95,80,89,94,84,88,90,95,98,98,98,99,98
2,8001,Michael Jordan,SG,SF,78,99,98,98,97,89,89,89,98,83,98,97,98,97,70,95,60,84,98,40,97,98,88,92,70,94,87,87,89,96,71,99,98,99,99,79,99,99,98,99,97,86,50,98,98,52,63,82,99,99
3,8534,Tim Duncan,PF,C,83,99,96,94,58,78,32,25,98,85,98,98,98,88,98,85,80,97,98,98,97,98,55,70,79,85,52,83,79,88,98,98,98,98,97,98,98,98,86,92,97,84,96,97,98,98,98,98,99,98
4,8530,Elgin Baylor,SF,PF,77,99,95,89,94,89,88,75,98,88,98,96,97,97,50,85,40,98,84,84,85,98,84,84,75,85,92,96,95,81,80,98,85,84,95,89,96,95,88,95,84,65,60,80,95,90,95,95,99,96
5,8531,Bob Pettit,PF,C,81,99,95,95,77,96,92,74,98,85,98,98,98,77,90,75,50,97,97,96,97,95,62,62,70,69,67,80,79,82,88,98,98,92,82,94,92,95,78,88,84,76,88,86,95,95,98,97,99,98
6,20347,Kevin Love,PF,C,82,99,95,92,78,92,92,68,98,90,98,97,98,82,95,65,50,95,97,97,97,98,64,72,69,92,40,78,70,88,97,98,98,98,80,86,88,88,60,78,88,74,85,84,95,97,97,97,99,98
7,8000,Kobe Bryant,SG,SF,78,99,98,98,97,96,97,95,98,92,98,96,97,98,35,90,55,98,87,57,85,98,91,88,65,82,92,90,94,95,70,98,97,83,94,62,95,94,92,92,73,82,51,73,95,46,64,68,99,98
8,8511,Wilt Chamberlain,C,PF,85,99,70,59,52,43,45,46,98,70,98,98,96,92,95,95,80,97,98,98,98,98,44,75,74,77,38,92,90,98,98,99,98,99,88,95,89,97,80,85,97,64,96,95,90,98,98,98,99,90
9,8510,Jerry West,PG,SG,74,99,97,97,97,97,96,96,97,92,98,97,97,98,25,25,25,98,59,63,63,98,86,96,95,98,96,96,96,85,60,98,97,82,95,44,94,97,96,95,92,98,40,92,98,58,73,64,99,94
10,8566,Isiah Thomas,PG,SG,73,99,96,95,96,90,90,90,98,88,98,97,97,98,25,65,30,95,25,58,65,98,98,97,97,97,97,97,96,85,68,98,94,90,97,40,96,96,92,94,84,94,35,84,95,35,45,40,99,98
11,8015,Magic Johnson,PG,SG,81,98,83,83,82,74,74,73,98,84,98,95,98,99,25,64,25,84,91,98,78,98,96,98,98,98,89,89,90,78,84,98,98,99,98,80,98,97,98,98,98,78,42,97,97,60,74,84,99,97
12,8030,James Worthy,SF,PF,81,98,90,90,76,82,78,57,95,81,98,97,98,94,90,95,85,95,97,97,96,92,76,72,67,75,76,86,80,90,80,98,95,85,85,87,91,88,88,85,83,63,42,83,95,78,80,85,98,95
13,8565,Kevin McHale,PF,C,82,98,80,62,44,45,31,26,98,77,98,97,97,88,70,55,55,78,98,97,97,95,45,60,42,75,42,64,52,75,94,96,98,85,94,98,97,98,82,90,95,65,85,95,98,97,98,98,98,98
14,20271,Carmelo Anthony,SF,PF,80,97,97,98,95,97,97,97,95,88,98,97,98,93,75,95,80,96,88,70,95,95,94,84,72,94,87,95,94,85,82,98,82,95,82,78,84,85,83,84,71,78,68,67,85,45,84,85,97,40
