,Height,Overall,Acceleration,Ball control,Block,Boxout,Contact dunk,Contested shot 3pt,Contested shot mid,Defensive consistency,Defensive rebound,Draw foul,Driving dunk,Driving layup,Free throw,Hands,Help defense IQ,Hustle,Lateral quickness,Low post defense IQ,Off dribble shot 3pt,Off dribble shot mid,Offensive consistency,Offensive rebound,On-ball defense IQ,Open shot 3pt,Open shot mid,Pass perception,Passing IQ,Passing accuracy,Passing vision,Pick & roll defense IQ,Post control,Post fadeaway,Post hook,Reaction time,Shot IQ,Shot close,Shot contest,Speed,Speed with ball,Stamina,Standing dunk,Standing layup,Steal,Strength,Vertical,kmeans_label,PLAYER_ID,Name
0,78,99,96,94,70,75,95,97,98,98,78,98,98,98,95,98,97,97,97,62,95,98,98,69,97,97,98,98,93,90,85,98,90,98,74,97,98,98,96,97,92,98,70,98,89,70,98,1,8512,Kobe Bryant
1,78,99,89,88,50,82,60,89,98,98,63,84,95,97,83,98,99,98,98,79,89,97,98,52,99,89,98,99,94,92,70,99,98,97,40,97,98,97,98,87,87,99,70,98,86,71,96,1,8001,Michael Jordan
2,83,99,79,55,96,98,80,32,94,98,98,97,85,88,85,98,98,98,86,98,25,58,98,98,97,78,96,92,85,70,79,98,98,97,98,97,98,98,97,83,52,98,98,98,84,98,88,1,8534,Tim Duncan
3,77,99,95,84,60,95,40,88,89,95,95,98,85,97,88,98,95,85,88,89,75,94,98,90,95,89,95,95,85,84,75,96,84,85,84,84,98,96,80,96,92,98,50,97,65,80,81,1,8530,Elgin Baylor
4,81,99,79,62,88,97,50,92,95,95,98,97,75,77,85,95,95,98,78,94,74,77,98,95,82,96,95,88,69,62,70,92,97,97,96,84,98,98,86,80,67,98,90,98,76,88,82,1,8531,Bob Pettit
5,82,99,70,64,85,97,50,92,92,95,97,95,65,82,90,98,88,98,60,86,68,78,98,97,80,92,95,78,92,72,69,88,97,97,97,88,98,97,84,78,40,98,95,98,74,97,88,1,20347,Kevin Love
6,78,99,94,91,51,68,55,97,98,95,64,98,90,98,92,98,94,97,92,62,95,97,98,46,94,96,98,92,82,88,65,95,87,85,57,73,98,96,73,90,92,98,35,97,82,70,95,1,8000,Kobe Bryant
7,85,99,90,44,96,98,80,45,59,90,98,97,95,92,70,98,97,98,80,95,46,52,98,98,88,43,70,85,77,75,74,89,98,98,98,97,98,98,95,92,38,99,95,96,64,98,98,1,8511,Wilt Chamberlain
8,74,99,96,86,40,64,25,96,97,98,73,98,25,98,92,98,97,97,96,44,96,97,98,58,95,97,97,95,98,96,95,94,59,63,63,92,97,97,92,96,96,98,25,97,98,60,85,2,8510,Jerry West
9,73,99,96,98,35,40,30,90,95,95,45,95,65,98,88,98,96,94,92,40,90,96,98,35,97,90,96,94,97,97,97,96,25,65,58,84,98,97,84,97,97,98,25,97,94,68,85,2,8566,Isiah Thomas
